"CLT"	[["F9", 0.0], ["TW", 4.999507358827514], ["AA", 5.380006683534635], ["TZ", 5.426697530864198], ["EA", 5.460874460499156], ["PA (1)", 7.375250501002004], ["OO", 8.17027027027027], ["NW", 8.658861767046963], ["9.0", 8.670454545454545], ["DL", 9.004240365927874], ["US", 9.353777110146531], ["9E", 10.17258883248731], ["DH", 11.455177020708083], ["UA", 11.917448054577738], ["FL", 11.94692366122294], ["CO", 12.535662510872717], ["OH", 12.698241228461745], ["PI", 12.705814491672365], ["YV", 14.252376037831759], ["EV", 14.459580323357413], ["MQ", 15.500598324690866], ["XE", 15.992775349492469], ["B6", 21.77263631815908]]
"CMH"	[["ML (1)", 4.373737373737374], ["AA", 5.2439700447383775], ["EA", 5.330957683741648], ["PI", 5.78125], ["NW", 6.1347663551401865], ["DL", 6.222471011595362], ["TW", 6.9085945806155], ["US", 7.143795997527038], ["DH", 7.762838657501011], ["WN", 8.4131583453607], ["CO", 9.995879351237393], ["YV", 10.13550135501355], ["UA", 10.29245343132049], ["9.0", 10.64993481095176], ["OO", 11.041723479683665], ["9E", 11.426060865837977], ["HP", 12.190090170343757], ["XE", 12.96455223880597], ["OH", 13.251047277079593], ["EV", 14.739549839228296], ["MQ", 15.260657370517928], ["B6", 19.554770318021202]]
"CMI"	[["US", 2.674633524537922], ["TW", 3.7823129251700682], ["PI", 4.437350835322196], ["OH", 5.367574257425742], ["EV", 9.692660550458715], ["DH", 9.707414829659319], ["MQ", 11.731388022267083]]
"CMX"	[["9.0", 12.461805555555555], ["9E", 23.15979381443299]]
"COD"	[["CO", 6.111111111111111], ["OO", 6.235261089275688], ["YV", 7.352418558736426]]
"COS"	[["TW", 4.78371940689573], ["CO", 4.978654558739105], ["HP", 5.841529089785468], ["DL", 6.186818575137006], ["XE", 6.923220821472143], ["AA", 7.059177034443368], ["UA", 7.076243344284581], ["NW", 7.2187381583933306], ["OO", 9.649671449644629], ["9.0", 9.992063492063492], ["YV", 12.35018008597653], ["OH", 12.470042194092827], ["DH", 19.53793103448276], ["MQ", 20.89010989010989]]
"CPR"	[["DL", 3.6818456883509834], ["CO", 7.689873417721519], ["OO", 7.85824168838599], ["9.0", 7.877323420074349], ["YV", 9.47774798927614], ["9E", 17.372093023255815]]
"CRP"	[["AA", 4.0399085938137596], ["CO", 4.274521297381789], ["DL", 5.431695827725437], ["WN", 6.556004716186626], ["XE", 7.908904448688026], ["MQ", 9.952805515929624], ["EV", 13.771641791044775]]
"CRW"	[["9E", 1.6869565217391305], ["UA", 1.8583333333333334], ["OH", 6.001041938004689], ["PI", 6.057725694444445], ["US", 6.135909847224323], ["9.0", 8.044444444444444], ["XE", 8.114027149321267], ["DH", 9.236731517509728], ["YV", 11.64], ["EV", 15.273999349170191], ["OO", 20.362505018065033]]
"CSG"	[["DL", 4.697117232543241], ["EV", 11.194223524487233]]
"CVG"	[["YV", 0.0], ["NW", 4.310350389097214], ["US", 4.78239233049142], ["AA", 4.838302915382792], ["TW", 5.051258071698953], ["PI", 7.509697256385998], ["DL", 8.519459205490891], ["OH", 8.57561338971591], ["UA", 8.774457133665756], ["PA (1)", 9.011450381679388], ["CO", 9.020870450496309], ["DH", 10.211105657996214], ["9.0", 10.504612916165263], ["EV", 12.01471459374926], ["9E", 12.305172413793104], ["MQ", 13.237157474244867], ["OO", 14.774260508562532], ["XE", 15.193472646161071]]
"CWA"	[["NW", 2.634603750756201], ["9.0", 8.073684210526316], ["MQ", 9.237986270022883], ["9E", 14.067594433399602], ["OO", 16.168027503223033], ["YV", 30.778172138420587]]
"CYS"	[["OO", 145.0]]
"DAB"	[["OO", 1.3008130081300813], ["AA", 3.0004845548152637], ["EA", 4.771073021836112], ["PI", 5.083570210346788], ["US", 5.134347525437123], ["DL", 7.584671941181171], ["FL", 10.007800312012481], ["CO", 13.292907876603413], ["YV", 15.387543252595156], ["OH", 15.95847750865052], ["EV", 19.617270194986073], ["XE", 22.26644844517185]]
"DAL"	[["AA", 5.437895096531693], ["WN", 8.358854358757679], ["MQ", 8.831003289473685], ["XE", 9.388200249831844], ["EV", 19.244075829383885]]
"DAY"	[["NW", 4.256822642943076], ["TW", 5.127028903740995], ["F9", 5.287292817679558], ["DL", 6.095378537046827], ["AA", 6.224474952268388], ["US", 6.968452144778028], ["CO", 7.908225995316159], ["OH", 8.041315242635374], ["YV", 8.777777777777779], ["DH", 8.782270311313592], ["FL", 9.252944583896506], ["9.0", 9.575466025255562], ["XE", 9.656441717791411], ["UA", 9.689769349437483], ["PI", 11.36364085463752], ["MQ", 11.37220447284345], ["9E", 12.520983213429256], ["EV", 13.643159379407617], ["OO", 15.621067031463749]]
"DBQ"	[["MQ", 10.234088335220838]]
