((u'SRQ', u'MEM'), 2.281779661016949)
((u'LAX', u'EWR'), 8.60197111299915)
((u'GST', u'JNU'), 9.07309721175584)
((u'PIA', u'DEN'), 2.4393939393939394)
((u'STT', u'EWR'), 7.505102040816326)
((u'LGA', u'MIA'), 10.3017706310881)
((u'MYR', u'PIT'), 6.5059288537549405)
((u'DLH', u'DTW'), 0.0)
((u'SLC', u'SGU'), 4.408630793819926)
((u'HOU', u'MCO'), 8.101000909918108)
((u'BHM', u'BWI'), 8.655094786729858)
((u'ORF', u'FLL'), 86.0)
((u'HOU', u'DAL'), 8.000468384074942)
((u'HTS', u'CVG'), 39.4)
((u'DAY', u'EVV'), 9.677502579979361)
((u'LGB', u'SFO'), 6.957578065498858)
((u'PHL', u'MLB'), 7.398148148148148)
((u'STL', u'FLL'), 9.922580160696853)
((u'DFW', u'BFL'), 10.445182055924361)
((u'CVG', u'GSO'), 6.442932396839333)
((u'CHS', u'RDU'), 1.4052307692307693)
((u'HNL', u'DFW'), 6.604194319086806)
((u'RDU', u'GSP'), 6.890304210999551)
((u'PHX', u'DTW'), 10.211024869317281)
((u'MEM', u'CHA'), 3.804724409448819)
((u'BTR', u'JAN'), 3.8970013037809648)
((u'PHL', u'BUF'), 12.214766885304025)
((u'DEN', u'PDX'), 11.240459026820735)
((u'PBI', u'CVG'), 8.166322314049587)
((u'ORF', u'CLE'), 2.593764541647278)
((u'TPA', u'LAS'), 10.779892349096501)
((u'RSW', u'MIA'), 5.958116995500173)
((u'IAH', u'SDF'), 7.388334504567815)
((u'SFO', u'MFR'), 13.416015321704021)
((u'SFO', u'MCI'), 9.872949389179755)
((u'HOU', u'TUL'), 8.009567253350557)
((u'OMA', u'DCA'), 6.883612662942272)
((u'ONT', u'SNA'), 4.25398313027179)
((u'AUS', u'MAF'), 4.994980927524593)
((u'PHX', u'BUF'), 16.05677867902665)
((u'DSM', u'DTW'), 4.905207723815097)
((u'ONT', u'PDX'), 7.548898265353961)
((u'DEN', u'MOT'), 9.762214983713354)
((u'LYH', u'BWI'), 14.149425287356323)
((u'ITO', u'OGG'), 3.3088607594936708)
((u'MDW', u'ATL'), 8.8781877373847)
((u'CLT', u'SAN'), 11.280880648899188)
((u'LAS', u'LAX'), 8.87760398779327)
((u'LAS', u'YUM'), 1.5)
((u'MCO', u'SYR'), 10.33769116921559)
((u'RNO', u'SJC'), 5.486213778829095)
((u'IAH', u'BNA'), 4.393337604099936)
((u'MIA', u'SJC'), 9.473460721868365)
((u'MDW', u'JAX'), 32.714285714285715)
((u'CVG', u'MDT'), 8.915717539863326)
((u'LAX', u'FLL'), 8.765074939003137)
((u'SJC', u'PSP'), 4.89747572815534)
((u'STL', u'HNL'), 20.028615794143743)
((u'FLL', u'EYW'), 0.0)
((u'ORD', u'LSE'), 12.248855597170204)
((u'SJU', u'DTW'), 21.339004149377594)
((u'MSP', u'MEM'), 7.2831668497560225)
((u'JFK', u'BDL'), 8.872752808988764)
((u'TYS', u'DTW'), 4.798837503158959)
((u'JFK', u'BWI'), 16.092270916334662)
((u'TUS', u'PIT'), 2.293103448275862)
((u'PSG', u'JNU'), 18.44328607172644)
((u'IAH', u'DFW'), 6.876188913174836)
((u'FLG', u'PHX'), 3.694342558630655)
((u'ATL', u'MYR'), 12.854482459939367)
((u'DTW', u'IAH'), 7.553857791225416)
((u'MTJ', u'IAH'), 3.8270531400966186)
((u'ELM', u'AVP'), 4.551724137931035)
((u'OAK', u'BWI'), 0.0)
((u'DSM', u'RST'), 73.0)
((u'FNT', u'PIT'), 4.256652360515021)
((u'SLC', u'EKO'), 4.024312220089572)
((u'IAD', u'BNA'), 11.645968489341984)
((u'JFK', u'SAN'), 9.410080331692148)
((u'OKC', u'SAT'), 56.0)
((u'SLC', u'BTM'), 4.939505041246563)
((u'BZN', u'DEN'), 6.9173955296404275)
((u'STL', u'EWR'), 12.442388726105763)
((u'IAH', u'EGE'), 7.7400318979266345)
((u'BWI', u'CAE'), 6.767351471404775)
((u'PDX', u'OAK'), 6.391367003670262)
((u'PIT', u'IAD'), 6.650149759083214)
((u'IND', u'ABE'), 1.0)
((u'IAH', u'AUS'), 7.032301370977584)
((u'JFK', u'SFO'), 9.334633305581116)
((u'EGE', u'PHX'), 6.6156862745098035)
((u'PHX', u'TUL'), 9.210452338359316)
((u'TUL', u'ABQ'), 5.81389252948886)
((u'GTF', u'SLC'), 16.45658762702799)
((u'ORD', u'ANC'), 15.697737333989178)
((u'LAX', u'PIE'), 4.136563876651983)
((u'SMF', u'ONT'), 6.827397019773081)
((u'CHO', u'LYH'), 1.872289156626506)
((u'ATL', u'PWM'), 12.304321547295256)
((u'SLC', u'GEG'), 8.769269662921348)
((u'ORF', u'BWI'), 5.547056033606613)
((u'PIT', u'SMF'), 11.153233830845771)
((u'ATL', u'DCA'), 8.435083637974964)
((u'MCO', u'DAY'), 7.266051282051282)
((u'SAN', u'DFW'), 6.070893050179587)
((u'HTS', u'MCN'), 102.0)
((u'MSP', u'GRB'), 7.416598416598417)
((u'ORD', u'LGA'), 9.434368870275142)
((u'PSC', u'MFR'), 158.0)
((u'MKE', u'CMH'), 4.852822580645161)
((u'CHS', u'CLT'), 5.178829019940602)
((u'DCA', u'LEX'), 4.39832285115304)
((u'JFK', u'EWR'), 26.90909090909091)
((u'ORD', u'BTV'), 11.52806357766267)
((u'DFW', u'DCA'), 8.456358093816101)
((u'SYR', u'ATL'), 7.236197121674662)
((u'BNA', u'LGA'), 8.632134262972789)
((u'CHA', u'ATL'), 5.946607177878016)
((u'SJU', u'STT'), 8.264989517819707)
((u'IAH', u'TYR'), 9.598984771573605)
((u'PVD', u'ORD'), 7.679787006314888)
((u'TPA', u'ISP'), 10.558063341827449)
((u'TPA', u'SAT'), 8.88786610878661)
((u'MSP', u'SBN'), 0.7142857142857143)
((u'SAN', u'OGG'), 44.0)
((u'BNA', u'PHL'), 6.274998547440591)
((u'SHV', u'BTR'), 3.816252821670429)
((u'DEN', u'SUX'), 7.325153374233129)
((u'BNA', u'PHX'), 6.440848475395773)
((u'BOS', u'BUF'), 10.404445128047374)
((u'ALB', u'SYR'), 2.5473684210526315)
((u'SNA', u'LGB'), 1.0)
((u'CMH', u'LAX'), 11.76840523717536)
((u'BWI', u'TPA'), 10.704468874442666)
((u'DAY', u'DEN'), 11.55527950310559)
((u'MDW', u'GSO'), 5.649343232438606)
((u'PWM', u'PIT'), 8.23363108143266)
((u'ATL', u'TLH'), 9.002218103369694)
((u'DHN', u'ATL'), 9.252069224981188)
((u'PVD', u'BGR'), 13.67696996081846)
((u'ATL', u'BOS'), 13.503551077020772)
((u'IAH', u'JAX'), 7.1131301760874805)
((u'LAX', u'SUN'), 5.0)
((u'ORD', u'CMH'), 11.171017661179699)
((u'SLC', u'RNO'), 9.458732369841547)
((u'ORH', u'PHL'), 3.7439024390243905)
((u'AMA', u'ABQ'), 7.378538689673767)
